Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2023,3,1,N,HB_HOUSTON,HU,-1.01
01/01/2023,3,2,N,HB_HOUSTON,HU,-1.17
01/01/2023,3,3,N,HB_HOUSTON,HU,-1.16
01/01/2023,3,4,N,HB_HOUSTON,HU,-1.34
01/01/2023,3,1,N,HB_HUBAVG,AH,-1
01/01/2023,3,2,N,HB_HUBAVG,AH,-1.17
01/01/2023,3,3,N,HB_HUBAVG,AH,-1.16
01/01/2023,3,4,N,HB_HUBAVG,AH,-1.33
01/01/2023,3,1,N,HB_NORTH,HU,-1.01
01/01/2023,3,2,N,HB_NORTH,HU,-1.17
01/01/2023,3,3,N,HB_NORTH,HU,-1.16
01/01/2023,3,4,N,HB_NORTH,HU,-1.34
01/01/2023,3,1,N,HB_PAN,HU,-1.02
01/01/2023,3,2,N,HB_PAN,HU,-1.17
01/01/2023,3,3,N,HB_PAN,HU,-1.16
01/01/2023,3,4,N,HB_PAN,HU,-1.35
01/01/2023,3,1,N,HB_SOUTH,HU,-1
01/01/2023,3,2,N,HB_SOUTH,HU,-1.17
01/01/2023,3,3,N,HB_SOUTH,HU,-1.16
01/01/2023,3,4,N,HB_SOUTH,HU,-1.34
01/01/2023,3,1,N,HB_WEST,HU,-0.98
01/01/2023,3,2,N,HB_WEST,HU,-1.17
01/01/2023,3,3,N,HB_WEST,HU,-1.16
01/01/2023,3,4,N,HB_WEST,HU,-1.31
01/01/2023,3,1,N,LZ_AEN,LZ,-1
01/01/2023,3,1,N,LZ_AEN,LZEW,-1
01/01/2023,3,2,N,LZ_AEN,LZ,-1.17
01/01/2023,3,2,N,LZ_AEN,LZEW,-1.17
01/01/2023,3,3,N,LZ_AEN,LZEW,-1.16
01/01/2023,3,3,N,LZ_AEN,LZ,-1.16
01/01/2023,3,4,N,LZ_AEN,LZ,-1.34
01/01/2023,3,4,N,LZ_AEN,LZEW,-1.34
01/01/2023,3,1,N,LZ_CPS,LZ,-1
01/01/2023,3,1,N,LZ_CPS,LZEW,-1
01/01/2023,3,2,N,LZ_CPS,LZ,-1.17
01/01/2023,3,2,N,LZ_CPS,LZEW,-1.17
01/01/2023,3,3,N,LZ_CPS,LZ,-1.16
01/01/2023,3,3,N,LZ_CPS,LZEW,-1.16
01/01/2023,3,4,N,LZ_CPS,LZ,-1.33
01/01/2023,3,4,N,LZ_CPS,LZEW,-1.33
01/01/2023,3,1,N,LZ_HOUSTON,LZ,-1.01
01/01/2023,3,1,N,LZ_HOUSTON,LZEW,-1.01
01/01/2023,3,2,N,LZ_HOUSTON,LZ,-1.17
01/01/2023,3,2,N,LZ_HOUSTON,LZEW,-1.17
01/01/2023,3,3,N,LZ_HOUSTON,LZ,-1.16
01/01/2023,3,3,N,LZ_HOUSTON,LZEW,-1.16
01/01/2023,3,4,N,LZ_HOUSTON,LZ,-1.34
01/01/2023,3,4,N,LZ_HOUSTON,LZEW,-1.34
01/01/2023,3,1,N,LZ_LCRA,LZEW,-1
01/01/2023,3,1,N,LZ_LCRA,LZ,-1
01/01/2023,3,2,N,LZ_LCRA,LZEW,-1.17
01/01/2023,3,2,N,LZ_LCRA,LZ,-1.17
01/01/2023,3,3,N,LZ_LCRA,LZEW,-1.16
01/01/2023,3,3,N,LZ_LCRA,LZ,-1.16
01/01/2023,3,4,N,LZ_LCRA,LZ,-1.34
01/01/2023,3,4,N,LZ_LCRA,LZEW,-1.34
01/01/2023,3,1,N,LZ_NORTH,LZ,-1.01
01/01/2023,3,1,N,LZ_NORTH,LZEW,-1.01
01/01/2023,3,2,N,LZ_NORTH,LZ,-1.17
01/01/2023,3,2,N,LZ_NORTH,LZEW,-1.17
01/01/2023,3,3,N,LZ_NORTH,LZ,-1.16
01/01/2023,3,3,N,LZ_NORTH,LZEW,-1.16
01/01/2023,3,4,N,LZ_NORTH,LZ,-1.34
01/01/2023,3,4,N,LZ_NORTH,LZEW,-1.34
01/01/2023,3,1,N,LZ_RAYBN,LZEW,-1.01
01/01/2023,3,1,N,LZ_RAYBN,LZ,-1.01
01/01/2023,3,2,N,LZ_RAYBN,LZ,-1.17
01/01/2023,3,2,N,LZ_RAYBN,LZEW,-1.17
01/01/2023,3,3,N,LZ_RAYBN,LZ,-1.16
01/01/2023,3,3,N,LZ_RAYBN,LZEW,-1.16
01/01/2023,3,4,N,LZ_RAYBN,LZEW,-1.34
01/01/2023,3,4,N,LZ_RAYBN,LZ,-1.34
01/01/2023,3,1,N,LZ_SOUTH,LZEW,-1
01/01/2023,3,1,N,LZ_SOUTH,LZ,-1
01/01/2023,3,2,N,LZ_SOUTH,LZ,-1.17
01/01/2023,3,2,N,LZ_SOUTH,LZEW,-1.17
01/01/2023,3,3,N,LZ_SOUTH,LZ,-1.16
01/01/2023,3,3,N,LZ_SOUTH,LZEW,-1.16
01/01/2023,3,4,N,LZ_SOUTH,LZ,-1.34
01/01/2023,3,4,N,LZ_SOUTH,LZEW,-1.33
01/01/2023,3,1,N,LZ_WEST,LZEW,-0.92
01/01/2023,3,1,N,LZ_WEST,LZ,-0.92
01/01/2023,3,2,N,LZ_WEST,LZEW,-1.17
01/01/2023,3,2,N,LZ_WEST,LZ,-1.17
01/01/2023,3,3,N,LZ_WEST,LZ,-1.16
01/01/2023,3,3,N,LZ_WEST,LZEW,-1.16
01/01/2023,3,4,N,LZ_WEST,LZ,-1.26
01/01/2023,3,4,N,LZ_WEST,LZEW,-1.26
01/01/2023,4,1,N,HB_BUSAVG,SH,-0.05
01/01/2023,4,2,N,HB_BUSAVG,SH,0
01/01/2023,4,3,N,HB_BUSAVG,SH,0
01/01/2023,4,4,N,HB_BUSAVG,SH,0
01/01/2023,4,1,N,HB_HOUSTON,HU,-0.06
01/01/2023,4,2,N,HB_HOUSTON,HU,0
01/01/2023,4,3,N,HB_HOUSTON,HU,0
01/01/2023,4,4,N,HB_HOUSTON,HU,0
01/01/2023,4,1,N,HB_HUBAVG,AH,-0.04
01/01/2023,4,2,N,HB_HUBAVG,AH,0
01/01/2023,4,3,N,HB_HUBAVG,AH,0
01/01/2023,4,4,N,HB_HUBAVG,AH,0
01/01/2023,4,1,N,HB_NORTH,HU,-0.07
01/01/2023,4,2,N,HB_NORTH,HU,0
01/01/2023,4,3,N,HB_NORTH,HU,0
01/01/2023,4,4,N,HB_NORTH,HU,0
01/01/2023,4,1,N,HB_PAN,HU,-0.08
01/01/2023,4,2,N,HB_PAN,HU,0
01/01/2023,4,3,N,HB_PAN,HU,0
